Dimension: array length (n),Time (clock)
454,27.800000
455,28.030000
456,28.090000
457,28.140000
458,28.200000
459,28.150000
460,28.300000
461,28.230000
462,28.360000
463,28.680000
464,28.470000
465,28.550000
466,28.610000
467,28.860000
468,28.770000
469,28.830000
470,28.880000
471,28.780000
472,28.350000
473,28.430000
474,28.460000
475,28.600000
476,28.870000
477,28.560000
478,28.730000
479,28.780000
480,28.780000
481,28.780000
482,28.900000
483,29.030000
484,28.990000
485,29.210000
486,29.200000
487,29.170000
488,29.180000
489,29.330000
490,29.290000
491,29.280000
492,29.480000
493,29.600000
494,29.620000
495,29.670000
496,29.690000
497,30.410000
498,30.550000
499,30.630000
500,30.710000
501,30.840000
502,30.740000
503,30.870000
504,30.810000
505,30.880000
506,31.020000
507,31.100000
508,31.090000
509,31.160000
510,31.580000
511,31.270000
512,31.280000
513,31.460000
514,31.630000
515,31.700000
516,31.680000
517,31.840000
518,31.940000
519,32.120000
520,32.100000
521,32.190000
522,32.300000
523,32.360000
524,32.530000
525,32.500000
526,32.630000
527,32.730000
528,32.620000
529,32.700000
530,32.900000
531,32.940000
532,33.110000
533,33.000000
534,33.020000
535,33.110000
536,33.210000
537,33.390000
538,33.330000
539,33.560000
540,33.530000
541,33.530000
542,33.710000
543,33.730000
544,33.660000
545,33.870000
546,33.770000
547,33.950000
548,34.060000
549,34.200000
550,34.090000
551,34.260000
552,34.510000
553,34.360000
554,34.400000
555,34.460000
556,34.600000
557,34.610000
558,34.640000
559,34.780000
560,33.930000
561,34.060000
562,34.130000
563,34.120000
564,35.220000
565,34.220000
566,34.240000
567,34.360000
568,34.340000
569,34.500000
570,34.480000
571,34.680000
572,34.760000
573,34.780000
574,34.780000
575,34.770000
576,34.790000
577,35.290000
578,35.090000
579,35.050000
580,35.230000
581,35.430000
582,36.230000
583,36.490000
584,36.510000
585,36.670000
586,36.680000
587,36.650000
588,36.860000
589,36.910000
590,36.950000
591,37.030000
592,37.100000
593,37.180000
594,37.290000
595,37.360000
596,37.310000
597,37.440000
598,37.660000
599,37.670000
600,37.710000
601,37.790000
602,37.930000
603,37.910000
604,38.100000
605,38.170000
606,38.020000
607,38.140000
608,38.190000
609,38.280000
610,38.400000
611,38.410000
612,38.520000
613,38.530000
614,38.670000
615,38.750000
616,38.760000
617,38.760000
618,39.020000
619,38.960000
620,38.920000
621,39.030000
622,39.020000
623,39.000000
