Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort
117,83.730000,144.760000,105.390000,80.350000,71.260000
118,94.160000,143.790000,84.260000,70.470000,68.110000
119,76.580000,126.680000,109.320000,77.400000,72.890000
120,93.450000,140.930000,112.840000,78.770000,82.750000
121,112.460000,158.700000,126.300000,85.470000,85.490000
122,113.840000,164.480000,129.460000,88.650000,84.770000
123,114.820000,164.820000,130.520000,87.680000,86.960000
124,115.920000,168.320000,118.730000,91.370000,88.340000
125,122.640000,161.610000,127.860000,89.250000,88.700000
126,120.140000,169.440000,135.790000,89.410000,84.010000
127,123.410000,159.680000,134.540000,89.910000,90.390000
128,125.050000,168.510000,143.660000,90.640000,91.330000
129,126.460000,178.930000,144.230000,76.430000,30.060000
130,36.930000,41.160000,31.690000,17.930000,20.610000
131,37.390000,49.890000,39.380000,24.090000,23.550000
132,29.390000,30.790000,27.050000,22.450000,20.060000
133,24.950000,34.470000,29.450000,17.730000,18.090000
134,27.090000,29.360000,23.310000,22.170000,19.660000
135,20.180000,29.550000,27.270000,21.420000,18.930000
136,26.550000,33.010000,28.600000,22.330000,20.280000
137,23.300000,32.470000,37.240000,27.200000,31.570000
138,41.530000,60.120000,41.210000,20.100000,19.830000
139,27.490000,34.760000,30.640000,19.240000,17.820000
140,23.070000,33.390000,24.980000,19.830000,20.940000
141,23.120000,30.590000,29.240000,19.270000,17.840000
142,22.660000,35.520000,29.020000,20.800000,22.010000
143,26.940000,33.720000,32.080000,20.070000,19.440000
144,29.660000,34.880000,29.160000,21.730000,20.430000
145,26.190000,37.410000,30.800000,18.870000,20.490000
146,26.940000,30.130000,27.550000,18.750000,18.090000
147,23.850000,32.910000,27.600000,17.630000,18.110000
148,25.560000,28.570000,20.720000,14.300000,15.110000
149,17.980000,23.000000,19.000000,14.750000,14.960000
150,17.810000,22.880000,19.680000,14.550000,14.320000
151,23.320000,28.690000,27.550000,17.020000,15.590000
152,20.520000,31.820000,32.590000,15.300000,17.110000
153,33.600000,28.850000,27.160000,20.570000,20.310000
154,26.200000,35.640000,30.160000,23.810000,31.290000
155,44.350000,59.400000,40.220000,19.3700
