Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort
84,1.230000,4.990000,2.400000,2.560000,2.580000,2.540000,3.570000
85,1.330000,4.670000,2.440000,2.670000,4.280000,2.530000,3.600000
86,1.340000,4.810000,2.510000,2.510000,2.600000,2.670000,3.930000
87,1.370000,4.790000,2.640000,2.670000,2.730000,2.590000,3.500000
88,1.420000,4.950000,2.610000,2.560000,3.110000,2.840000,3.690000
89,1.360000,4.820000,2.710000,2.900000,2.840000,2.860000,3.870000
90,1.410000,5.300000,2.820000,2.770000,2.930000,2.970000,3.890000
91,1.400000,5.000000,3.780000,4.640000,3.960000,4.650000,4.290000
92,1.630000,5.490000,4.030000,3.980000,3.740000,3.380000,4.750000
93,1.960000,8.710000,4.190000,3.380000,3.500000,3.650000,5.400000
94,1.640000,5.490000,2.910000,2.940000,2.960000,3.040000,4.040000
95,1.580000,5.390000,2.970000,2.880000,2.940000,3.050000,4.260000
96,1.930000,5.420000,3.520000,3.040000,2.970000,2.980000,4.120000
97,1.540000,5.770000,3.110000,3.020000,3.020000,2.960000,4.190000
98,1.710000,5.370000,3.500000,3.100000,3.010000,2.980000,4.260000
99,1.600000,5.840000,3.220000,3.220000,3.050000,3.050000,4.290000
100,1.640000,5.410000,3.320000,3.170000,3.270000,3.140000,4.330000
101,1.650000,5.630000,3.320000,3.150000,3.100000,3.850000,4.730000
102,1.710000,5.720000,3.270000,3.230000,3.130000,3.120000,4.500000
103,1.670000,5.880000,3.510000,3.300000,3.130000,3.360000,4.700000
104,1.720000,5.800000,3.770000,3.250000,3.240000,3.320000,4.510000
105,1.770000,5.820000,3.880000,3.270000,3.270000,3.270000,4.550000
106,1.770000,6.250000,3.660000,3.350000,3.240000,3.460000,5.140000
107,1.800000,6.090000,3.610000,3.270000,3.290000,3.360000,4.700000
108,2.150000,7.300000,3.770000,3.300000,3.300000,3.380000,4.800000
109,1.860000,6.600000,3.780000,3.380000,3.330000,3.430000,4.800000
110,1.850000,6.340000,3.860000,3.460000,3.380000,3.510000,4.880000
111,1.860000,6.270000,3.980000,3.460000,3.830000,3.660000,4.880000
112,1.870000,6.180000,4.020000,3.570000,3.450000,3.910000,5.000000
113,1.930000,6.500000,3.970000,3.630000,3.570000,3.560000,5.710000
114,1.980000,6.330000,4.060000,3.590000,3.570000,3.640000,5.050000
115,1.950000,6.470000,4.130000,3.620000,3.610000,3.660000,5.020000
116,2.370000,7.250000,4.230000,3.690000,3.670000,4.020000,5.160000
117,2.000000,6.980000,4.170000,3.720000,3.630000,3.770000,5.370000
118,2.020000,6.960000,4.340000,3.760000,3.730000,3.770000,5.290000
119,2.110000,6.610000,4.350000,3.790000,3.690000,3.860000,5.230000
120,2.580000,7.320000,4.480000,3.830000,3.790000,3.860000,5.690000
121,2.140000,6.760000,4.530000,3.910000,3.780000,3.880000,5.400000
122,2.150000,6.830000,4.700000,3.930000,3.900000,4.230000,5.430000
123,2.340000,6.870000,4.690000,3.900000,4.120000,3.910000,5.510000
124,2.150000,6.930000,4.950000,3.980000,3.920000,4.040000,5.520000
125,2.270000,7.010000,4.770000,4.040000,3.920000,4.060000,5.630000
126,2.170000,7.030000,5.140000,4.020000,4.000000,4.080000,5.680000
127,2.290000,7.060000,4.960000,4.030000,4.050000,4.140000,5.750000
128,2.300000,7.260000,5.050000,4.470000,5.250000,4.100000,5.810000
129,2.300000,10.530000,5.440000,4.150000,4.070000,4.230000,5.820000
130,2.890000,7.210000,5.190000,4.220000,4.040000,4.190000,5.880000
131,2.410000,7.390000,5.230000,4.260000,4.130000,4.310000,5.870000
132,2.610000,7.360000,5.310000,4.310000,4.300000,4.310000,5.980000
133,2.490000,7.480000,5.490000,4.290000,4.210000,4.340000,6.030000
134,2.480000,7.500000,5.450000,4.310000,4.240000,4.370000,6.080000
135,2.660000,7.590000,5.580000,4.380000,4.320000,4.340000,6.190000
136,2.500000,7.590000,5.960000,4.490000,4.420000,4.510000,6.140000
137,2.540000,7.740000,5.630000,4.460000,4.360000,4.500000,6.180000
138,2.620000,7.960000,5.760000,4.550000,4.430000,4.940000,6.210000
139,2.580000,7.870000,5.750000,4.690000,4.670000,4.540000,6.390000
140,2.660000,7.920000,6.050000,4.530000,4.480000,4.560000,6.350000
141,2.650000,8.280000,6.130000,5.950000,4.700000,4.700000,6.700000
142,2.650000,9.940000,6.120000,5.760000,5.940000,5.190000,6.980000
143,2.740000,8.410000,6.130000,4.700000,4.560000,4.660000,6.630000
144,2.790000,8.010000,6.280000,4.710000,5.010000,4.810000,6.570000
145,2.780000,11.020000,6.390000,4.970000,4.630000,4.810000,6.600000
146,2.820000,8.580000,7.060000,4.830000,4.640000,4.760000,6.950000
147,2.860000,8.350000,6.400000,4.800000,4.760000,4.870000,6.680000
148,3.220000,8.370000,6.720000,4.870000,4.780000,4.880000,6.760000
149,2.950000,8.730000,6.560000,4.950000,5.620000,5.220000,6.840000
150,2.850000,8.500000,6.610000,4.970000,4.840000,4.960000,6.820000
151,2.910000,10.150000,6.770000,4.980000,4.820000,5.030000,6.890000
152,2.910000,8.540000,6.720000,5.000000,5.370000,5.050000,7.410000
153,2.990000,10.300000,6.980000,5.080000,5.000000,5.080000,7.030000
154,3.340000,8.690000,7.310000,5.250000,4.990000,5.270000,7.100000
155,3.160000,8.860000,7.500000,5.150000,5.100000,5.180000,7.180000
