Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort
0,0.260000,0.250000,0.230000,0.240000,0.230000
1000,168.010000,72.040000,35.270000,44.350000,44.650000
2000,502.190000,151.180000,80.180000,97.100000,96.570000
3000,1127.600000,212.210000,138.320000,152.650000,151.460000
4000,2027.080000,307.560000,169.390000,210.730000,208.390000
5000,3108.010000,367.270000,229.470000,270.390000,266.390000
6000,4466.010000,448.100000,298.450000,331.370000,326.460000
7000,6045.040000,531.710000,308.900000,392.520000,386.680000
8000,7891.610000,610.250000,367.280000,456.140000,447.870000
9000,9986.090000,690.340000,430.700000,518.130000,509.350000
10000,12329.370000,773.560000,497.530000,583.300000,573.290000
11000,14927.380000,854.820000,566.170000,646.970000,635.880000
12000,17697.770000,935.460000,640.640000,712.130000,697.770000
13000,20741.790000,1026.100000,608.940000,776.270000,761.330000
14000,24096.780000,1104.380000,667.800000,843.700000,825.800000
15000,27597.880000,1186.800000,727.630000,911.690000,890.160000
16000,31424.160000,1270.180000,790.730000,976.230000,954.900000
17000,35453.720000,1359.790000,863.100000,1042.630000,1021.640000
18000,39784.800000,1445.000000,930.350000,1111.410000,1087.000000
19000,44362.710000,1530.480000,999.550000,1180.970000,1150.000000
20000,49047.570000,1616.250000,1072.660000,1249.070000,1219.480000
21000,54139.430000,1697.300000,1136.960000,1316.430000,1283.090000
22000,59348.690000,1784.740000,1214.850000,1384.710000,1350.240000
23000,65064.570000,1878.500000,1294.040000,1451.210000,1419.280000
24000,70730.090000,1961.970000,1374.630000,1524.540000,1482.480000
25000,76657.250000,2061.970000,1456.130000,1588.910000,1549.840000
26000,82919.710000,2171.910000,1320.020000,1664.040000,1616.460000
27000,89391.550000,2257.520000,1384.980000,1734.840000,1686.320000
28000,96084.940000,2332.630000,1447.630000,1801.390000,1755.670000
29000,103237.100000,2417.500000,1516.500000,1872.750000,1822.400000
30000,110415.820000,2510.700000,1580.540000,1944.360000,1891.440000
31000,117900.170000,2600.880000,1648.180000,2014.200000,1956.760000
32000,125654.040000,2680.020000,1715.860000,2087.710000,2024.260000
33000,133522.750000,2776.950000,1798.660000,2162.660000,2095.280000
34000,141919.820000,2874.630000,1870.140000,2223.420000,2163.950000
35000,150275.700000,2965.640000,1940.760000,2296.930000,2236.790000
36000,158907.210000,3047.640000,2013.070000,2370.870000,2301.480000
37000,167999.720000,3138.380000,2090.330000,2444.630000,2369.790000
38000,177602.810000,3248.000000,2159.930000,2520.520000,2443.270000
39000,186432.000000,3336.250000,2234.770000,2585.850000,2509.390000
40000,196318.240000,3417.890000,2311.780000,2661.610000,2576.210000
41000,206028.580000,3494.330000,2390.350000,2733.800000,2652.600000
42000,216217.570000,3602.060000,2469.070000,2807.300000,2721.950000
43000,226673.340000,3694.210000,2545.550000,2878.970000,2792.060000
44000,237172.100000,3778.990000,2624.770000,2954.050000,2858.890000
45000,248262.470000,3862.370000,2705.420000,3023.520000,2927.920000
46000,259429.390000,3968.370000,2788.100000,3101.830000,3004.470000
47000,270887.140000,4064.140000,2867.280000,3174.630000,3075.640000
48000,282595.120000,4147.960000,2952.360000,3246.620000,3141.610000
49000,294660.280000,4231.880000,3035.380000,3320.870000,3212.670000
50000,306606.820000,4349.940000,3123.520000,3394.740000,3289.370000
