Dimension: array length (n),Time (clock)
0,0.200000
1,0.170000
2,0.190000
3,0.160000
4,0.190000
5,0.240000
6,0.120000
7,0.240000
8,0.240000
9,0.240000
10,0.230000
11,0.270000
12,0.300000
13,0.310000
14,0.310000
15,0.320000
16,0.350000
17,0.340000
18,0.360000
19,0.390000
20,0.370000
21,0.380000
22,0.460000
23,0.480000
24,0.710000
25,0.500000
26,0.570000
27,0.480000
28,0.520000
29,0.510000
30,0.530000
31,0.580000
32,0.560000
33,0.610000
34,0.630000
35,0.650000
36,0.630000
37,0.630000
38,0.700000
39,0.620000
40,0.690000
41,0.790000
42,0.730000
43,0.790000
44,0.770000
45,0.810000
46,0.870000
47,0.890000
48,0.840000
49,0.910000
50,0.930000
51,0.940000
52,0.940000
53,1.000000
54,1.040000
55,1.050000
56,1.080000
57,1.100000
58,1.120000
59,1.210000
60,1.170000
61,1.230000
62,1.240000
63,1.240000
64,1.270000
65,1.320000
66,1.290000
67,1.330000
68,1.380000
69,1.370000
70,1.430000
71,1.440000
72,1.420000
73,1.480000
74,1.550000
75,1.600000
76,1.560000
77,1.550000
78,1.750000
79,1.610000
80,1.730000
81,1.720000
82,1.780000
83,1.810000
84,1.810000
85,1.920000
86,1.900000
87,1.930000
88,1.970000
89,2.030000
90,2.050000
91,2.070000
92,2.110000
93,2.170000
94,2.180000
95,2.130000
96,2.250000
97,2.310000
98,2.360000
99,2.460000
100,2.450000
101,2.430000
102,2.450000
103,2.480000
104,2.590000
105,2.540000
106,2.650000
107,2.580000
108,2.640000
109,2.690000
110,2.700000
111,2.810000
112,2.820000
113,2.870000
114,2.920000
115,2.970000
116,2.990000
117,3.020000
118,3.040000
119,3.120000
120,3.140000
121,3.200000
122,3.280000
123,3.310000
124,3.370000
125,3.380000
126,3.460000
127,3.450000
128,3.510000
129,3.570000
130,3.630000
131,3.620000
132,3.680000
133,3.730000
134,3.690000
135,3.790000
136,3.880000
137,3.930000
138,3.970000
139,3.940000
140,4.060000
141,4.160000
142,4.170000
143,4.160000
144,4.300000
145,4.270000
146,4.350000
147,4.350000
148,4.410000
149,4.560000
150,4.620000
151,4.570000
152,4.660000
153,4.730000
154,4.780000
155,4.810000
156,4.790000
157,4.730000
158,4.780000
159,4.920000
160,4.920000
161,4.980000
162,5.140000
163,5.100000
164,5.140000
165,5.130000
166,5.230000
167,5.250000
168,5.370000
169,5.560000
170,5.450000
171,5.460000
172,5.540000
173,5.490000
174,5.680000
175,5.680000
176,5.820000
177,5.790000
178,5.920000
179,5.950000
180,6.010000
181,6.010000
182,6.060000
183,6.220000
184,6.210000
185,6.310000
186,6.280000
187,6.380000
188,6.460000
189,6.490000
190,6.610000
191,6.670000
192,6.730000
193,6.820000
194,6.730000
195,6.920000
196,6.960000
197,7.030000
198,7.100000
199,7.140000
200,7.180000
201,7.200000
202,7.300000
203,7.420000
204,7.480000
205,7.520000
206,7.620000
207,7.650000
208,7.710000
209,7.740000
210,7.900000
211,7.840000
212,8.040000
213,8.070000
214,8.060000
215,8.170000
216,8.230000
217,8.210000
218,8.420000
219,8.500000
220,8.500000
221,8.510000
222,8.660000
223,8.680000
224,8.700000
225,8.690000
226,8.690000
227,8.620000
228,8.840000
229,8.860000
230,8.930000
231,9.050000
232,9.070000
233,9.180000
234,9.260000
235,9.290000
236,9.310000
237,9.400000
238,9.570000
239,9.520000
240,9.660000
241,9.790000
242,9.850000
243,9.890000
244,10.050000
245,10.000000
246,10.050000
247,10.160000
248,10.320000
249,10.290000
250,10.420000
251,10.460000
252,10.550000
253,10.530000
254,10.600000
255,10.690000
256,10.940000
257,10.830000
258,10.900000
259,11.020000
260,11.110000
261,11.220000
262,11.260000
263,11.360000
264,11.370000
265,11.500000
266,11.570000
267,11.620000
268,11.730000
269,11.800000
270,11.900000
271,11.990000
272,12.030000
273,12.240000
274,12.170000
275,12.260000
276,12.380000
277,12.500000
278,12.590000
279,12.540000
280,12.700000
281,12.910000
282,12.920000
283,12.980000
284,13.010000
285,13.090000
286,12.880000
287,12.920000
288,12.990000
289,13.080000
290,13.140000
291,13.300000
292,13.300000
293,13.380000
294,13.450000
295,13.570000
296,13.760000
297,13.740000
298,13.880000
299,13.950000
300,14.000000
301,14.060000
302,14.140000
303,14.290000
304,14.220000
305,14.430000
306,14.530000
307,14.650000
308,14.700000
309,14.730000
310,14.900000
311,14.980000
312,15.130000
313,15.290000
314,15.180000
315,15.330000
316,15.370000
317,15.520000
318,15.610000
319,15.640000
320,15.650000
321,15.810000
322,15.890000
323,16.030000
324,16.060000
325,16.330000
326,16.370000
327,16.350000
328,16.420000
329,16.590000
330,16.630000
331,16.750000
332,16.820000
333,16.960000
334,17.060000
335,17.000000
336,17.160000
337,17.460000
338,17.420000
339,17.540000
340,17.540000
341,17.730000
342,17.740000
343,17.870000
344,17.960000
345,18.200000
346,18.180000
347,17.850000
348,17.980000
349,18.100000
350,18.100000
351,18.220000
352,18.300000
353,18.360000
354,18.490000
355,18.620000
356,18.790000
357,18.740000
358,18.770000
359,19.050000
360,19.020000
361,19.010000
362,19.200000
363,19.310000
364,19.360000
365,19.470000
366,19.610000
367,19.770000
368,19.850000
369,19.880000
370,19.970000
371,20.640000
372,21.010000
373,20.710000
374,20.530000
375,20.550000
376,20.630000
377,20.860000
378,22.730000
379,20.990000
380,21.100000
381,21.250000
382,21.170000
383,21.440000
384,21.410000
385,21.640000
386,21.700000
387,21.760000
388,21.950000
389,22.030000
390,22.340000
391,22.180000
392,22.460000
393,22.430000
394,22.490000
395,23.060000
396,23.440000
397,23.440000
398,23.490000
399,23.800000
400,23.760000
401,23.900000
402,24.040000
403,24.100000
404,24.210000
405,24.290000
406,24.900000
407,25.210000
408,25.330000
409,25.440000
410,25.780000
411,25.660000
412,25.880000
413,25.810000
414,26.000000
415,26.210000
416,26.320000
417,26.370000
418,27.110000
419,27.190000
420,27.320000
421,27.500000
422,27.840000
423,27.810000
424,27.960000
425,28.010000
426,28.170000
427,28.150000
428,28.310000
429,28.410000
430,28.600000
431,28.700000
432,28.680000
433,29.020000
434,29.150000
435,29.180000
436,29.510000
437,29.600000
438,29.470000
439,29.780000
440,30.170000
441,30.290000
442,30.230000
443,30.280000
444,30.380000
445,30.440000
446,30.620000
447,31.040000
448,30.970000
449,31.010000
450,31.200000
451,31.350000
452,30.530000
453,30.700000
454,31.030000
455,30.940000
456,31.300000
457,31.150000
458,31.390000
459,31.540000
460,31.620000
461,31.970000
462,31.960000
463,32.030000
464,32.160000
465,32.180000
466,32.580000
467,32.710000
468,32.700000
469,32.800000
470,32.930000
471,33.210000
472,33.360000
473,33.340000
474,33.330000
475,32.710000
476,32.910000
477,32.900000
478,33.180000
479,33.420000
480,33.370000
481,33.520000
482,33.650000
483,33.830000
484,33.840000
485,33.990000
486,34.340000
487,34.190000
488,34.500000
489,34.480000
490,34.720000
491,34.880000
492,35.030000
493,35.120000
494,35.250000
495,35.460000
496,35.430000
497,35.690000
498,35.740000
499,36.060000
500,36.030000
501,36.050000
502,36.470000
503,35.640000
504,35.490000
505,35.750000
506,35.910000
507,36.170000
508,36.300000
509,36.220000
510,36.580000
511,37.110000
512,37.170000
513,36.840000
514,37.030000
515,37.790000
516,38.130000
517,37.330000
518,38.590000
519,37.940000
520,38.320000
521,38.040000
522,38.680000
523,40.310000
524,39.600000
525,39.590000
526,39.940000
527,40.140000
528,40.240000
529,40.050000
530,40.310000
531,40.780000
532,40.420000
533,40.860000
534,41.250000
535,41.150000
536,43.180000
537,48.180000
538,41.520000
539,41.450000
540,49.710000
541,42.020000
542,47.880000
543,44.920000
544,42.000000
545,42.460000
546,50.590000
547,42.860000
548,49.280000
549,45.800000
550,43.170000
551,46.600000
552,47.800000
553,49.550000
554,47.230000
555,44.250000
556,44.060000
557,51.970000
558,44.490000
559,54.240000
560,45.840000
561,46.360000
562,54.080000
563,46.400000
564,55.200000
565,46.540000
566,46.720000
567,55.070000
568,47.270000
569,53.800000
570,47.660000
571,47.520000
572,47.990000
573,47.970000
574,48.220000
575,48.370000
576,48.400000
577,48.710000
578,49.060000
579,48.710000
580,49.220000
581,49.170000
582,49.210000
583,49.780000
584,49.680000
585,50.090000
586,49.780000
587,50.340000
588,50.610000
589,50.390000
590,51.310000
591,50.880000
592,51.040000
593,51.530000
594,51.370000
595,51.850000
596,51.600000
597,51.670000
598,52.290000
599,52.150000
600,52.370000
601,52.570000
602,52.400000
603,52.930000
604,53.420000
605,53.110000
606,53.440000
607,53.300000
608,53.670000
609,53.810000
610,53.870000
611,54.340000
612,55.340000
613,55.920000
614,55.870000
615,56.540000
616,56.300000
617,56.770000
618,56.940000
619,57.680000
620,60.120000
621,59.890000
622,59.320000
623,59.250000
624,59.620000
625,60.850000
626,59.920000
627,60.120000
628,60.020000
629,60.350000
630,60.670000
631,60.840000
632,60.940000
633,60.990000
634,59.990000
635,59.880000
636,59.900000
637,60.370000
638,60.400000
639,60.540000
640,60.990000
641,60.790000
642,61.190000
643,61.010000
644,60.740000
645,60.160000
646,60.070000
647,60.460000
648,60.870000
649,60.930000
650,60.830000
651,61.120000
652,61.380000
653,61.440000
654,61.570000
655,62.080000
656,62.200000
657,62.060000
658,62.490000
659,62.620000
660,63.560000
661,64.680000
662,65.390000
663,65.200000
664,65.580000
665,65.270000
666,77.890000
667,65.800000
668,66.470000
669,65.980000
670,66.300000
671,66.740000
672,66.640000
673,66.760000
674,66.660000
675,67.370000
676,67.270000
677,66.050000
678,66.080000
679,66.320000
680,66.660000
681,66.470000
682,66.650000
683,67.090000
684,67.360000
685,67.590000
686,67.810000
687,67.690000
688,67.020000
689,66.440000
690,66.540000
691,66.680000
692,67.000000
693,67.210000
694,67.370000
695,68.010000
696,67.690000
697,67.830000
698,68.100000
699,68.190000
700,68.450000
701,68.470000
702,69.000000
703,68.950000
704,68.450000
705,70.570000
706,67.820000
707,68.060000
708,68.110000
709,68.510000
710,68.400000
711,68.650000
712,68.840000
713,69.430000
714,69.460000
715,69.710000
716,70.820000
717,69.740000
718,69.880000
719,70.020000
720,70.490000
721,70.440000
722,70.520000
723,71.030000
724,71.210000
725,71.260000
726,71.460000
727,71.790000
728,71.980000
729,71.940000
730,72.300000
731,71.000000
732,71.200000
733,71.120000
734,71.220000
735,71.080000
736,71.640000
737,71.600000
738,71.960000
739,72.020000
740,72.460000
741,75.270000
742,72.520000
743,74.340000
744,73.190000
745,73.210000
746,73.610000
747,75.650000
748,75.170000
749,75.820000
750,76.120000
751,77.290000
752,78.400000
753,78.790000
754,79.240000
755,81.520000
756,86.960000
757,81.650000
758,82.230000
759,82.090000
760,83.630000
761,84.710000
762,85.210000
763,85.110000
764,85.310000
765,85.580000
766,85.810000
767,86.190000
768,86.130000
769,87.260000
770,89.250000
771,90.020000
772,89.910000
773,92.100000
774,92.770000
775,93.250000
776,93.150000
777,93.850000
778,93.910000
779,93.910000
780,93.990000
781,92.300000
782,91.800000
783,92.150000
784,92.280000
785,92.690000
786,92.640000
787,92.950000
788,93.180000
789,95.160000
790,96.880000
791,96.510000
792,97.660000
793,97.130000
794,97.010000
795,94.970000
796,95.130000
797,96.260000
798,98.200000
799,98.460000
800,98.500000
801,98.910000
802,99.340000
803,99.990000
804,101.390000
805,102.630000
806,102.600000
807,103.360000
808,102.510000
809,100.760000
810,101.270000
811,101.440000
812,102.050000
813,101.760000
814,100.180000
815,99.810000
816,99.650000
817,99.860000
818,102.210000
819,104.050000
820,104.100000
821,101.800000
822,101.600000
823,101.240000
824,101.550000
825,101.470000
826,105.130000
827,105.400000
828,105.780000
829,107.850000
830,106.150000
831,110.550000
832,109.880000
833,109.420000
834,110.480000
835,110.410000
836,108.530000
837,107.780000
838,107.570000
839,108.880000
840,106.720000
841,105.460000
842,106.000000
843,106.380000
844,106.840000
845,106.500000
846,106.460000
847,107.160000
848,107.610000
849,107.610000
850,108.150000
851,108.430000
852,108.650000
853,112.610000
854,113.210000
855,113.290000
856,113.130000
857,112.370000
858,113.820000
859,113.150000
860,113.420000
861,113.920000
862,113.570000
863,114.270000
864,114.250000
865,114.890000
866,117.160000
867,119.650000
868,119.200000
869,119.470000
870,117.730000
871,116.850000
872,116.570000
873,116.330000
874,117.820000
875,121.010000
876,133.320000
877,131.790000
878,127.070000
879,131.920000
880,122.340000
881,129.130000
882,123.010000
883,123.820000
884,123.960000
885,129.370000
886,133.580000
887,138.790000
888,135.800000
889,124.510000
890,124.270000
891,125.370000
892,125.560000
893,126.100000
894,126.210000
895,126.360000
896,126.900000
897,126.950000
898,126.260000
899,127.900000
900,127.420000
901,131.150000
902,128.210000
903,131.620000
904,128.770000
905,129.340000
906,131.900000
907,132.300000
908,129.540000
909,130.740000
910,133.510000
911,133.550000
912,129.800000
913,127.260000
914,127.550000
915,128.020000
916,127.620000
917,129.050000
918,135.610000
919,135.680000
920,133.480000
921,134.970000
922,130.140000
923,130.320000
924,130.180000
925,130.640000
926,133.440000
927,134.830000
928,135.710000
929,140.280000
930,139.000000
931,136.390000
932,135.920000
933,138.450000
934,141.950000
935,139.730000
936,138.530000
937,134.550000
938,134.240000
939,134.590000
940,134.820000
941,135.110000
942,135.730000
943,137.710000
944,146.520000
945,140.320000
946,140.860000
947,147.270000
948,146.480000
949,137.510000
950,137.480000
951,138.300000
952,137.510000
953,138.410000
954,144.310000
955,145.350000
956,139.320000
957,139.540000
958,139.780000
959,140.230000
960,139.950000
961,144.350000
962,145.110000
963,147.180000
964,151.680000
965,150.970000
966,142.280000
967,142.730000
968,142.220000
969,142.470000
970,153.360000
971,152.770000
972,143.970000
973,144.620000
974,144.370000
975,144.670000
976,145.050000
977,145.080000
978,149.030000
979,150.430000
980,149.930000
981,150.560000
982,149.590000
983,146.610000
984,152.290000
985,150.100000
986,147.760000
987,149.430000
988,146.620000
989,144.820000
990,144.650000
991,144.840000
992,145.320000
993,148.230000
994,150.300000
995,155.090000
996,151.080000
